Chemical,Metal,Carcinogen,PBT,PFAS,Units,Air,Water,Landfill,Underground Wells,Land Treatment,Surface Impoundment,Recycled
"1,1,1,2-Tetrachloro-2-fluoroethane (HCFC-121a)",NO,NO,NO,NO,Pounds,1940.0,0.0,15885.0,0.0,0.0,0.0,0.0
"1,1,1,2-Tetrachloroethane",NO,YES,NO,NO,Pounds,5371.219999999999,66.0,0.0,0.0,0.0,0.0,583410.0
"1,1,1-Trichloroethane",NO,NO,NO,NO,Pounds,41116.325999999994,454.0,54.263999999999996,0.094,0.0,0.0,30639.0
"1,1,2,2-Tetrachloroethane",NO,YES,NO,NO,Pounds,2865.952,0.0,8.907,3.007,0.0,0.0,811775.82
"1,1,2-Trichloroethane",NO,NO,NO,NO,Pounds,22528.325,96.7395,23.117,1.015,0.0,0.0,327819.0
"1,1-Dichloro-1-fluoroethane (HCFC-141b)",NO,NO,NO,NO,Pounds,5671.1,148.0,0.0,0.0,0.0,0.0,0.0
"1,1-Dimethylhydrazine",NO,YES,NO,NO,Pounds,2.0119999999999996,0.0,0.0,0.0,0.0,0.0,0.0
"1,2,3-Trichloropropane",NO,YES,NO,NO,Pounds,1589.0,3010.0,0.0,0.0,0.0,0.0,165358.0
"1,2,4-Trichlorobenzene",NO,NO,NO,NO,Pounds,8685.15,0.0,0.2,23613.0,0.0,0.0,20467.0
"1,2,4-Trimethylbenzene",NO,NO,NO,NO,Pounds,3782014.717891,1160.576,75865.144,151094.35526399998,85.99600000000001,21.7,2988154.38278
"1,2-Butylene oxide",NO,YES,NO,NO,Pounds,2060.083,2.0,0.0,0.0,0.0,0.0,0.0
"1,2-Dibromo-3-chloropropane",NO,YES,NO,NO,Pounds,0.111,0.0,0.0,0.0,0.0,0.0,0.0
"1,2-Dibromoethane",NO,YES,NO,NO,Pounds,553.51,70.0,0.0,0.0,0.0,0.0,0.0
"1,2-Dichloro-1,1,2-trifluoroethane (HCFC-123a)",NO,NO,NO,NO,Pounds,98461.56,0.0,0.0,0.0,0.0,0.0,0.0
"1,2-Dichloro-1,1-difluoroethane (HCFC-132b)",NO,NO,NO,NO,Pounds,22809.0,13.0,0.0,0.0,0.0,0.0,0.0
"1,2-Dichlorobenzene",NO,NO,NO,NO,Pounds,20776.8,5.0,9.02,23851.0,0.0,0.0,151.0
"1,2-Dichloroethane",NO,YES,NO,NO,Pounds,410308.343,4022.142,436.979,43649.117,0.0,0.0,752139.2
"1,2-Dichloroethylene",NO,NO,NO,NO,Pounds,42307.83,30.0,4.27,0.0,0.0,0.0,742070.0
"1,2-Dichloropropane",NO,YES,NO,NO,Pounds,18271.28708,291.691,12.01,0.0,0.0,0.0,302451.4283
