,Chemical,Metal,Carcinogen,PBT,PFAS,Units,Air,Water,Landfill,Underground Wells,Land Treatment,Surface Impoundment,Recycled
368,Nitrate compounds (water dissociable; reportable only when in aqueous solution),NO,NO,NO,NO,Pounds,299373.547191,177150545.108,5878503.3619,34138341.122291,15513456.766,11694068.76,1403500.4759
116,Ammonia,NO,NO,NO,NO,Pounds,133472507.188067,4307584.5399,1361290.7265,28519578.355,1594868.444,1935904.614,3339365.09
523,Zinc compounds,YES,NO,NO,NO,Pounds,2389910.794245,982443.265917,113209969.35505,8224749.1616,847214.2100000001,268226014.46759495,510998041.4436
129,Barium compounds (except for barium sulfate (CAS No. 7727-43-7)),NO,NO,NO,NO,Pounds,345482.010292,267411.056842,63503100.068,35514.0,582678.605,13418002.598,1992980.43
320,Manganese  And Manganese Compounds,YES,NO,NO,NO,Pounds,300572.667314,1685004.6118,54317616.26096,124398.0,498556.52,52575774.676,48433701.2097
321,Manganese compounds,YES,NO,NO,NO,Pounds,317071.305633,2245699.77,33212119.547300003,9073459.0,486849.01,66758755.616,40894881.2602
112,Aluminum oxide (fibrous forms),NO,NO,NO,NO,Pounds,7482.972836,155.25,5426507.817484,0.0,386346.0,0.0,2990700.0
128,Barium  And Barium Compounds,NO,NO,NO,NO,Pounds,332363.348559,146770.6519,41766238.74953999,32377.0,337621.16000000003,2268759.82,2159102.4989
126,Atrazine,NO,NO,NO,NO,Pounds,32902.1052,54.86,802369.749,0.008,263755.0,0.0,37.0
329,Methanol,NO,NO,NO,NO,Pounds,96836916.39497,5097925.426,666211.2817,15169526.773,242126.346,1331774.16,22407882.253
522,Zinc (fume or dust),NO,NO,NO,NO,Pounds,235983.7884,0.0,3570428.74,46.15,188537.0,344969.0,17068475.95
514,Vanadium compounds,YES,NO,NO,NO,Pounds,162414.785169,371872.9581,16499319.9411,1500415.002597,134338.89,9017920.426,1034953.329
205,Copper,YES,NO,NO,NO,Pounds,358529.917292,14622.65425,5764970.435989,240709.964292,114327.6729,172751.65,378437057.597163
369,Nitric acid,NO,NO,NO,NO,Pounds,1520968.202138,304933.005,1243256.11327,7426541.591,112086.126,325934.03,1289234.634
366,Nicotine and salts,NO,NO,NO,NO,Pounds,174888.01499999998,27.0,193670.177,0.015,85705.0,0.0,7803569.275
123,Arsenic  And Arsenic Compounds,YES,NO,NO,NO,Pounds,15172.2388,760.11504,1399622.41449,139757.56,80150.022,69020.17,106629.4086
364,Nickel  And Nickel Compounds,YES,YES,NO,NO,Pounds,91316.544459,27236.0729,40236242.8731,261228.06,68095.6576,8632704.05,19211229.9489
200,Chromium compounds (except for chromite ore mined in the Transvaal Region),YES,NO,NO,NO,Pounds,87171.963426,21637.1437,10289886.7979,2491238.74,50407.476,4286624.88,12672941.291
207,Copper compounds,YES,NO,NO,NO,Pounds,169750.036235,111508.3955,6157699.672499999,154096.90000000002,50334.189,95680584.5142,56038976.703
199,Chromium  and Chromium Compounds(except for chromite ore mined in the Transvaal Region),YES,NO,NO,NO,Pounds,83454.10636599999,74271.7237,17554675.2006,538826.14,48875.55,5441062.87,19458606.4612
