,Chemical,Metal,Carcinogen,PBT,PFAS,Units,Air,Water,Landfill,Underground Wells,Land Treatment,Surface Impoundment,Recycled
523,Zinc compounds,YES,NO,NO,NO,Pounds,2389910.794245,982443.265917,113209969.35505,8224749.1616,847214.2100000001,268226014.46759495,510998041.4436
205,Copper,YES,NO,NO,NO,Pounds,358529.917292,14622.65425,5764970.435989,240709.964292,114327.6729,172751.65,378437057.597163
198,Chromium,YES,NO,NO,NO,Pounds,114973.407242,3035.028715,4376941.129375,82207.294,143.57999999999998,2081110.24769,204173250.463716
310,Lead  And Lead Compounds,YES,NO,YES,NO,Pounds,153071.004843,22329.760716,33546971.637198,18597.291,39639.2416,30148559.489636004,169757989.356008
363,Nickel,YES,YES,NO,NO,Pounds,107559.100109,6398.423696,4233912.373265,93936.05,1546.7629,681649.7059000001,151271649.000002
319,Manganese,YES,NO,NO,NO,Pounds,329304.434021,116003.063695,9768739.986949,747.659816,14508.26,921139.808,143741475.706967
111,Aluminum (fume or dust),NO,NO,NO,NO,Pounds,758028.3214969999,0.0,7163342.676497,0.0,0.0,5.0,81668841.726
207,Copper compounds,YES,NO,NO,NO,Pounds,169750.036235,111508.3955,6157699.672499999,154096.90000000002,50334.189,95680584.5142,56038976.703
206,Copper  And Copper Compounds,YES,NO,NO,NO,Pounds,254342.899914,55254.1675,13685923.085356,377677.99,31070.068,24064671.583,49952110.3706
320,Manganese  And Manganese Compounds,YES,NO,NO,NO,Pounds,300572.667314,1685004.6118,54317616.26096,124398.0,498556.52,52575774.676,48433701.2097
309,Lead,YES,YES,YES,NO,Pounds,64871.94937,5260.513169,7636250.653985,159440.80270000003,1769.97043,557511.926274,47280533.030708
321,Manganese compounds,YES,NO,NO,NO,Pounds,317071.305633,2245699.77,33212119.547300003,9073459.0,486849.01,66758755.616,40894881.2602
311,Lead compounds,YES,NO,YES,NO,Pounds,86677.537921,15021.120846,6059202.714759,230043.980686,15129.301,135305368.14999402,29917491.367234
267,Ethylene glycol,NO,NO,NO,NO,Pounds,1585009.26745,386173.742,9023656.864021,6951882.759,33067.0,0.0,29869134.0287
329,Methanol,NO,NO,NO,NO,Pounds,96836916.39497,5097925.426,666211.2817,15169526.773,242126.346,1331774.16,22407882.253
350,N-Methyl-2-pyrrolidone,NO,NO,NO,NO,Pounds,1404737.677265,7121.86,3520621.289,5383535.027,10045.0,0.0,20749925.349
199,Chromium  and Chromium Compounds(except for chromite ore mined in the Transvaal Region),YES,NO,NO,NO,Pounds,83454.10636599999,74271.7237,17554675.2006,538826.14,48875.55,5441062.87,19458606.4612
364,Nickel  And Nickel Compounds,YES,YES,NO,NO,Pounds,91316.544459,27236.0729,40236242.8731,261228.06,68095.6576,8632704.05,19211229.9489
301,Hydrogen sulfide,NO,NO,NO,NO,Pounds,17395226.624869,374352.27,34654.3784,9339597.54,25878.04,243135.77,18407891.62
522,Zinc (fume or dust),NO,NO,NO,NO,Pounds,235983.7884,0.0,3570428.74,46.15,188537.0,344969.0,17068475.95
