,Chemical,Metal,Carcinogen,PBT,PFAS,Units,Air,Water,Landfill,Underground Wells,Land Treatment,Surface Impoundment,Recycled
523,Zinc compounds,YES,NO,NO,NO,Pounds,2389910.794245,982443.265917,113209969.35505,8224749.1616,847214.2100000001,268226014.46759495,510998041.4436
311,Lead compounds,YES,NO,YES,NO,Pounds,86677.537921,15021.120846,6059202.714759,230043.980686,15129.301,135305368.14999402,29917491.367234
207,Copper compounds,YES,NO,NO,NO,Pounds,169750.036235,111508.3955,6157699.672499999,154096.90000000002,50334.189,95680584.5142,56038976.703
321,Manganese compounds,YES,NO,NO,NO,Pounds,317071.305633,2245699.77,33212119.547300003,9073459.0,486849.01,66758755.616,40894881.2602
124,Arsenic compounds,YES,NO,NO,NO,Pounds,25680.704,11016.956,1695018.6960000002,261.0,31010.5,65563107.0,18596.94
320,Manganese  And Manganese Compounds,YES,NO,NO,NO,Pounds,300572.667314,1685004.6118,54317616.26096,124398.0,498556.52,52575774.676,48433701.2097
310,Lead  And Lead Compounds,YES,NO,YES,NO,Pounds,153071.004843,22329.760716,33546971.637198,18597.291,39639.2416,30148559.489636004,169757989.356008
206,Copper  And Copper Compounds,YES,NO,NO,NO,Pounds,254342.899914,55254.1675,13685923.085356,377677.99,31070.068,24064671.583,49952110.3706
129,Barium compounds (except for barium sulfate (CAS No. 7727-43-7)),NO,NO,NO,NO,Pounds,345482.010292,267411.056842,63503100.068,35514.0,582678.605,13418002.598,1992980.43
368,Nitrate compounds (water dissociable; reportable only when in aqueous solution),NO,NO,NO,NO,Pounds,299373.547191,177150545.108,5878503.3619,34138341.122291,15513456.766,11694068.76,1403500.4759
514,Vanadium compounds,YES,NO,NO,NO,Pounds,162414.785169,371872.9581,16499319.9411,1500415.002597,134338.89,9017920.426,1034953.329
364,Nickel  And Nickel Compounds,YES,YES,NO,NO,Pounds,91316.544459,27236.0729,40236242.8731,261228.06,68095.6576,8632704.05,19211229.9489
199,Chromium  and Chromium Compounds(except for chromite ore mined in the Transvaal Region),YES,NO,NO,NO,Pounds,83454.10636599999,74271.7237,17554675.2006,538826.14,48875.55,5441062.87,19458606.4612
121,Antimony compounds,YES,NO,NO,NO,Pounds,13252.914993,3430.093925,443299.304,11597.0,33.0,4901891.1844,820726.397
200,Chromium compounds (except for chromite ore mined in the Transvaal Region),YES,NO,NO,NO,Pounds,87171.963426,21637.1437,10289886.7979,2491238.74,50407.476,4286624.88,12672941.291
128,Barium  And Barium Compounds,NO,NO,NO,NO,Pounds,332363.348559,146770.6519,41766238.74953999,32377.0,337621.16000000003,2268759.82,2159102.4989
365,Nickel compounds,YES,YES,NO,NO,Pounds,102202.2964,28925.7649,4445982.7696,211449.4972,21761.45,2139698.28,9895938.4297
198,Chromium,YES,NO,NO,NO,Pounds,114973.407242,3035.028715,4376941.129375,82207.294,143.57999999999998,2081110.24769,204173250.463716
116,Ammonia,NO,NO,NO,NO,Pounds,133472507.188067,4307584.5399,1361290.7265,28519578.355,1594868.444,1935904.614,3339365.09
300,Hydrogen fluoride,NO,NO,NO,NO,Pounds,9463863.365,351.4,26293190.714023,557723.45,0.0,1892769.0,14285.05
