,Chemical,Metal,Carcinogen,PBT,PFAS,Units,Air,Water,Landfill,Underground Wells,Land Treatment,Surface Impoundment,Recycled
368,Nitrate compounds (water dissociable; reportable only when in aqueous solution),NO,NO,NO,NO,Pounds,299373.547191,177150545.108,5878503.3619,34138341.122291,15513456.766,11694068.76,1403500.4759
116,Ammonia,NO,NO,NO,NO,Pounds,133472507.188067,4307584.5399,1361290.7265,28519578.355,1594868.444,1935904.614,3339365.09
97,Acetonitrile,NO,NO,NO,NO,Pounds,776384.7032499999,2133.39,1331.804,21188935.55,0.0,32.0,4513193.6896
329,Methanol,NO,NO,NO,NO,Pounds,96836916.39497,5097925.426,666211.2817,15169526.773,242126.346,1331774.16,22407882.253
281,Formic acid,NO,NO,NO,NO,Pounds,491601.2547,372667.095,383518.1273,13402912.124,2.68,19000.2,368135.44
280,Formaldehyde,NO,YES,NO,NO,Pounds,4701402.307053,181946.26,282271.4219,12935343.143,437.698,159612.08000000002,30252.29
301,Hydrogen sulfide,NO,NO,NO,NO,Pounds,17395226.624869,374352.27,34654.3784,9339597.54,25878.04,243135.77,18407891.62
321,Manganese compounds,YES,NO,NO,NO,Pounds,317071.305633,2245699.77,33212119.547300003,9073459.0,486849.01,66758755.616,40894881.2602
523,Zinc compounds,YES,NO,NO,NO,Pounds,2389910.794245,982443.265917,113209969.35505,8224749.1616,847214.2100000001,268226014.46759495,510998041.4436
103,Acrylonitrile,NO,YES,NO,NO,Pounds,293212.372,107.84,14558.065,7450454.059,9.0,0.0,287.45
369,Nitric acid,NO,NO,NO,NO,Pounds,1520968.202138,304933.005,1243256.11327,7426541.591,112086.126,325934.03,1289234.634
267,Ethylene glycol,NO,NO,NO,NO,Pounds,1585009.26745,386173.742,9023656.864021,6951882.759,33067.0,0.0,29869134.0287
213,Cyanide compounds,NO,NO,NO,NO,Pounds,142832.0924,17461.45,679756.2315,5551903.001,0.0,1887554.0,186917.93803
350,N-Methyl-2-pyrrolidone,NO,NO,NO,NO,Pounds,1404737.677265,7121.86,3520621.289,5383535.027,10045.0,0.0,20749925.349
101,Acrylamide,NO,YES,NO,NO,Pounds,40728.777,49.0,161727.159,5343988.045,1146.0,0.0,55.3544
117,Aniline,NO,NO,NO,NO,Pounds,56225.1827,367.0,343.024,2757394.542,0.0,0.0,1390.95
200,Chromium compounds (except for chromite ore mined in the Transvaal Region),YES,NO,NO,NO,Pounds,87171.963426,21637.1437,10289886.7979,2491238.74,50407.476,4286624.88,12672941.291
338,Methyl methacrylate,NO,NO,NO,NO,Pounds,1848806.5575,878.74,149031.492108,2262167.5,0.0,0.0,394911.43
514,Vanadium compounds,YES,NO,NO,NO,Pounds,162414.785169,371872.9581,16499319.9411,1500415.002597,134338.89,9017920.426,1034953.329
462,Sodium nitrite,NO,NO,NO,NO,Pounds,76979.9131,1815982.41,1329811.61179,1413713.2,2457.55,0.0,55459.0
