34. CHEMICAL,40. CLASSIFICATION,41. METAL,43. CARCINOGEN,44. PBT,45. PFAS,47. UNIT OF MEASURE,48. 5.1 - FUGITIVE AIR,49. 5.2 - STACK AIR,50. 5.3 - WATER,51. 5.4 - UNDERGROUND,52. 5.4.1 - UNDERGROUND CL I,53. 5.4.2 - UNDERGROUND C II-V,54. 5.5.1 - LANDFILLS,55. 5.5.1A - RCRA C LANDFILL,56. 5.5.1B - OTHER LANDFILLS,57. 5.5.2 - LAND TREATMENT,58. 5.5.3 - SURFACE IMPNDMNT,59. 5.5.3A - RCRA SURFACE IM,60. 5.5.3B - OTHER SURFACE I,61. 5.5.4 - OTHER DISPOSAL,62. ON-SITE RELEASE TOTAL,63. 6.1 - POTW - TRNS RLSE,64. 6.1 - POTW - TRNS TRT,71. 6.2 - M71,72. 6.2 - M81,73. 6.2 - M82,74. 6.2 - M72,75. 6.2 - M63,76. 6.2 - M66,77. 6.2 - M67,78. 6.2 - M64,79. 6.2 - M65,80. 6.2 - M73,81. 6.2 - M79,82. 6.2 - M90,83. 6.2 - M94,84. 6.2 - M99,88. 6.2 - M26,91. OFF-SITE RECYCLED TOTAL,94. OFF-SITE ENERGY RECOVERY T,101. OFF-SITE TREATED TOTAL,103. 6.2 - TOTAL TRANSFER
"1,1,1,2-Tetrachloro-2-fluoroethane (HCFC-121a)",TRI,NO,NO,NO,NO,Pounds,1935.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1940.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15885.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,529.0,16456.0
"1,1,1,2-Tetrachloroethane",TRI,NO,YES,NO,NO,Pounds,5180.11,191.11,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5437.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,583410.0,583410.0,0.0,120195.0,703605.0
"1,1,1-Trichloroethane",TRI,NO,NO,NO,NO,Pounds,36225.412,4890.914,454.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41570.325999999994,0.0,0.0,0.0,0.094,0.0,0.0,0.0,0.0,0.0,6.76,47.504,0.0,0.0,7.0,0.0,11.0,30429.0,30639.0,33536.490000000005,177727.011,241974.85900000003
"1,1,2,2-Tetrachloroethane",TRI,NO,YES,NO,NO,Pounds,1899.242,966.71,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2868.952,0.0,0.0,0.0,0.007,0.0,0.0,0.0,0.0,0.0,0.0,8.907,0.0,0.0,0.0,0.0,569.0,811775.82,811775.82,1416.0,1120816.84,1934586.574
"1,1,2-Trichloroethane",TRI,NO,NO,NO,NO,Pounds,16125.615,6402.71,96.73949999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22625.0645,0.0,0.0,0.0,1.0150000000000001,0.0,0.0,0.0,0.0,0.0,0.0,23.116999999999997,0.0,0.0,1.0,0.0,2265.0,327819.0,327819.0,31000.0,11760716.69,12121876.821999999
"1,1-Dichloro-1-fluoroethane (HCFC-141b)",TRI,NO,NO,NO,NO,Pounds,5565.0,106.1,148.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5819.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0
"1,1-Dimethylhydrazine",TRI,NO,YES,NO,NO,Pounds,2.002,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"1,2,3-Trichloropropane",TRI,NO,YES,NO,NO,Pounds,1552.0,37.0,3010.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4599.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,165358.0,165358.0,0.0,3025.0,168383.0
"1,2,4-Trichlorobenzene",TRI,NO,NO,NO,NO,Pounds,6647.25,2037.9,0.0,0.0,23613.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32298.15,1.4106,0.7434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,20467.0,0.0,12088.7434,32557.354
"1,2,4-Trimethylbenzene",TRI,NO,NO,NO,NO,Pounds,922013.370107,2860001.347784,1160.576,0.0,136828.43,7.930263999999999,0.0,15330.49,22.0,3.0,0.0,0.7,21.0,1279.1597000000002,3936668.003855,5009.008116,11424.577283999999,0.0,14257.994999999999,0.0,0.0,0.0,0.0,0.0,33936.889200000005,24516.4348,82.99600000000001,2059.33,58413.501402,22378.413,20267.712905,213797.49910000002,2988154.38278,3970391.3021,1051406.713537,8194014.4758399995
