,Chemical,Type,Total Underground
200,"1,1,1-Trichloroethane",TRI,0.094
0,"1,1,2,2-Tetrachloroethane",TRI,3.007
90,"1,1,2-Trichloroethane",TRI,1.015
123,"1,2,4-Trichlorobenzene",TRI,23613.0
70,"1,2,4-Trimethylbenzene",TRI,151094.35526399998
186,"1,2-Dichlorobenzene",TRI,23851.0
27,"1,2-Dichloroethane",TRI,43649.117
180,"1,2-Phenylenediamine",TRI,2.047584
169,"1,3-Butadiene",TRI,1446.2
196,"1,4-Dichloro-2-butene",TRI,3170.2
184,"1,4-Dichlorobenzene",TRI,429.77
122,"1,4-Dioxane",TRI,503266.012
159,1-Bromopropane,TRI,10.0
85,"2,4-D",TRI,0.027
64,"2,4-Diaminotoluene",TRI,10.0
113,"2,4-Dichlorophenol",TRI,100455.0
116,"2,4-Dimethylphenol",TRI,933329.0
199,"2,4-Dinitrophenol",TRI,223286.0
161,"2,4-Dinitrotoluene",TRI,0.01
92,2-Ethoxyethanol,TRI,0.012
182,2-Methyllactonitrile,TRI,293279.0
190,2-Methylpyridine,TRI,42955.0
145,2-Nitrophenol,TRI,4323.0
128,"4,4'-Methylenedianiline",TRI,240000.0
179,4-Aminoazobenzene,TRI,1337.32
172,4-Aminobiphenyl,TRI,18.78
62,Acetaldehyde,TRI,254312.01
165,Acetamide,TRI,1213407.0
53,Acetonitrile,TRI,21188935.549999997
16,Acetophenone,TRI,479320.0
117,Acrolein,TRI,10050.0
22,Acrylamide,TRI,5343988.045
5,Acrylic acid,TRI,1150928.0729999999
141,Acrylonitrile,TRI,7450454.059
87,Alachlor,TRI,0.032
104,Allyl alcohol,TRI,276509.007
1,Ammonia,TRI,28519578.355
14,Aniline,TRI,2757394.542
119,Anthracene,TRI,267.12800000000004
163,Antimony  And Antimony Compounds,TRI,7617.0
99,Antimony compounds,TRI,11597.0
150,Arsenic,TRI,0.5
41,Arsenic  And Arsenic Compounds,TRI,139757.56
124,Arsenic compounds,TRI,261.0
197,Atrazine,TRI,0.008
143,Barium,TRI,13.02
96,Barium  And Barium Compounds,TRI,32377.0
71,Barium compounds (except for barium sulfate (CAS No. 7727-43-7)),TRI,35514.0
6,Benzene,TRI,253910.34552
139,"Benzo[g,h,i]perylene",PBT,284.474
183,Benzoyl peroxide,TRI,0.005
207,Beryllium  And Beryllium Compounds,TRI,2721.0
103,Beryllium compounds,TRI,30.0
55,Biphenyl,TRI,48730.737
136,Bis(2-chloroethyl) ether,TRI,2.0
83,Boron trifluoride,TRI,314893.0
39,Bromine,TRI,178.0
115,Bromomethane,TRI,210.0
127,Butyl acrylate,TRI,0.052
140,Butyraldehyde,TRI,32424.017
173,Cadmium,TRI,4676.89
20,Cadmium  And Cadmium Compounds,TRI,53658.0
48,Cadmium compounds,TRI,253.3
133,Carbaryl,TRI,0.007
97,Carbon disulfide,TRI,1906.766
43,Carbon tetrachloride,TRI,14346.167000000001
44,Carbonyl sulfide,TRI,1900.0
75,Certain glycol ethers,TRI,876632.8399999999
168,Chlordane,PBT,0.015
177,Chlorine,TRI,243671.0
206,Chlorine dioxide,TRI,365.0
167,Chlorobenzene,TRI,92000.095
154,Chloroform,TRI,23462.49
65,Chloromethane,TRI,330813.0
188,Chlorophenols,TRI,542568.0
79,Chloroprene,TRI,3057.024
114,Chlorothalonil,TRI,250.0
105,Chromium,TRI,82207.294
61,Chromium  and Chromium Compounds(except for chromite ore mined in the Transvaal Region),TRI,538826.14
7,Chromium compounds (except for chromite ore mined in the Transvaal Region),TRI,2491238.74
198,Cobalt,TRI,9800.0
95,Cobalt  And Cobalt Compounds,TRI,12197.44
57,Cobalt compounds,TRI,50485.47
56,Copper,TRI,240709.96429200002
49,Copper  And Copper Compounds,TRI,377677.99
42,Copper compounds,TRI,154096.90000000002
93,Creosote,TRI,0.091
9,Cresol (mixed isomers),TRI,426808.097
107,Crotonaldehyde,TRI,2849.0
26,Cumene,TRI,3889.161
156,Cumene hydroperoxide,TRI,22783.0
35,Cyanide compounds,TRI,5551903.000999999
66,Cyclohexane,TRI,96671.412
108,Cyclohexanol,TRI,1352997.1
171,Di(2-ethylhexyl) phthalate,TRI,10240.226
