Chemical,Type,Total Underground
Nitrate & Nitrate Compunds,TRI,34138341
Ammonia,TRI,28519578
Acetonitrile,TRI,21188935
Methanol,TRI,15169526
Formic acid,TRI,13402912
Formaldehyde,TRI,12935343
Hydrogen sulfide,TRI,9339597
Manganese & Manganese Compunds,TRI,9198604
Zinc & Zinc Compounds,TRI,8224795
Acrylonitrile,TRI,7450454
Nitric acid,TRI,7426541
Ethylene oxide,TRI,6962291
Cyanide & Cyanide Compunds,TRI,5551903
N-Methyl-2-pyrrolidone,TRI,5383535
Acrylamide,TRI,5343988
Chromium,TRI,3112272
Aniline,TRI,2757394
Methyl methacrylate,TRI,2262167
Vanadium Compunds,TRI,1500415
Sodium nitrite,TRI,1413713
Phenol,TRI,1356879
Cyclohexanol,TRI,1352997
4-Dichlorophenol,TRI,1257080
Acetamide,TRI,1213407
Acrylic acid,TRI,1150928
Certain glycol ethers,TRI,876632
Diethanolamine,TRI,839200
N-Dimethylformamide,TRI,788111
Copper,TRI,772484
n-Butyl alcohol,TRI,754292
Hydrogen cyanide,TRI,621638
m-Cresol,TRI,587226
Nickel & Nickel Compounds,TRI,566613
Dichloromethane,TRI,558097
Hydrogen fluoride,TRI,557723
Chlorophenols,TRI,542568
Ethylbenzene,TRI,531386
Pyridine,TRI,528054
Dioxane,TRI,503266
Acetophenone,TRI,479320
Naphthalene,TRI,457263
Cresol,TRI,426808
Lead & Lead Compunds,PBT,408082
Chloromethane,TRI,330813
Hydroquinone,TRI,329096
Boron trifluoride,TRI,314893
Xylene,TRI,314383
tert-Butyl alcohol,TRI,300339
p-Cresol,TRI,293615
2-Methyllactonitrile,TRI,293279
Nitrobenzene,TRI,283215
Molybdenum trioxide,TRI,279392
Allyl alcohol,TRI,276509
Acetaldehyde,TRI,254312
Benzene,TRI,253910
n-Hexane,TRI,252390
Chlorine dioxide,TRI,244036
Methylenedianiline,TRI,240000
Toluene diisocyanate,TRI,233615
Isobutyraldehyde,TRI,212939
o-Cresol,TRI,202537
Styrene,TRI,198566
Trimethylbenzene,TRI,151094
