,Unnamed: 0,4. FACILITY NAME,34. CHEMICAL,51. 5.4 - UNDERGROUND,40. CLASSIFICATION,41. METAL,43. CARCINOGEN,44. PBT,45. PFAS,47. UNIT OF MEASURE,52. 5.4.1 - UNDERGROUND CL I,53. 5.4.2 - UNDERGROUND C II-V,71. 6.2 - M71,72. 6.2 - M81,73. 6.2 - M82,Total Underground
7,7,OCCIDENTAL CHEMICAL CORP,"1,1,2,2-Tetrachloroethane",0.0,TRI,NO,YES,NO,NO,Pounds,3.0,0.0,0.0,0.0,0.0,3.0
75,75,LANXESS - WEST PLANT,Ammonia,0.0,TRI,NO,NO,NO,NO,Pounds,7500.0,410000.0,0.0,0.0,0.0,417500.0
80,80,LYONDELL CHEMICAL CO,Styrene,0.0,TRI,NO,YES,NO,NO,Pounds,197525.0,0.0,0.0,0.0,0.0,197525.0
158,158,VICKERY ENVIRONMENTAL INC.,Ethylene glycol,0.0,TRI,NO,NO,NO,NO,Pounds,62169.0,0.0,0.0,0.0,0.0,62169.0
207,207,LANXESS - SOUTH PLANT,Toluene,0.0,TRI,NO,NO,NO,NO,Pounds,420.0,0.0,0.0,0.0,0.0,420.0
288,288,ASCEND PERFORMANCE MATERIALS-CHOCOLATE BAYOU PLANT,Acrylic acid,0.0,TRI,NO,NO,NO,NO,Pounds,4438.0,0.0,0.0,0.0,0.0,4438.0
363,363,EQUISTAR CHEMICALS LP,Benzene,0.0,TRI,NO,YES,NO,NO,Pounds,3093.39,0.0,0.0,0.0,0.0,3093.39
369,369,SRG GLOBAL FARMINGTON,Chromium compounds (except for chromite ore mined in the Transvaal Region),0.0,TRI,YES,NO,NO,NO,Pounds,0.0,0.0,0.0,23235.0,0.0,23235.0
393,393,SCEPTER INC,Manganese,0.0,TRI,YES,NO,NO,NO,Pounds,0.0,0.0,0.0,24.4,0.0,24.4
398,398,DIAMOND SHAMROCK REFINING CO LP,Cresol (mixed isomers),0.0,TRI,NO,NO,NO,NO,Pounds,10000.0,0.0,0.0,0.0,0.0,10000.0
472,472,TROPICANA MANUFACTURING CO INC,Nitrate compounds (water dissociable; reportable only when in aqueous solution),0.0,TRI,NO,NO,NO,NO,Pounds,31000.0,0.0,0.0,0.0,0.0,31000.0
622,622,LANXESS - CENTRAL,Ammonia,0.0,TRI,NO,NO,NO,NO,Pounds,32000.0,250000.0,0.0,0.0,0.0,282000.0
666,666,ASCEND PERFORMANCE MATERIALS OPERATIONS LLC,Phenol,0.0,TRI,NO,NO,NO,NO,Pounds,174.0,0.0,0.0,0.0,0.0,174.0
696,696,JAYHAWK FINE CHEMICALS CORP,Triethylamine,0.0,TRI,NO,NO,NO,NO,Pounds,0.0,0.0,0.0,433.0,0.0,433.0
705,705,AZZ GALVANIZING SERVICES-JOLIET,Lead,0.0,PBT,YES,YES,YES,NO,Pounds,0.0,0.0,0.0,4.35,0.0,4.35
807,807,THE DOW CHEMICAL CO - BEAUMONT ANILINE,Aniline,0.0,TRI,NO,NO,NO,NO,Pounds,23776.0,0.0,0.0,0.0,0.0,23776.0
