,Chemical,Metal,Carcinogen,PBT,PFAS,Units,Air,Water,Landfill,Underground Wells,Land Treatment,Surface Impoundment,Recycled
523,Zinc compounds,YES,NO,NO,NO,Pounds,2389910.794245,982443.265917,113209969.35505,8224749.1616,847214.2100000001,268226014.46759495,510998041.4436
129,Barium compounds,NO,NO,NO,NO,Pounds,345482.010292,267411.056842,63503100.068,35514.0,582678.605,13418002.598,1992980.43
320,Manganese,YES,NO,NO,NO,Pounds,300572.667314,1685004.6118,54317616.26096,124398.0,498556.52,52575774.676,48433701.2097
128,Barium,NO,NO,NO,NO,Pounds,332363.348559,146770.6519,41766238.74953999,32377.0,337621.16000000003,2268759.82,2159102.4989
364,Nickel,YES,YES,NO,NO,Pounds,91316.544459,27236.0729,40236242.8731,261228.06,68095.6576,8632704.05,19211229.9489
310,Lead,YES,NO,YES,NO,Pounds,153071.004843,22329.760716,33546971.637198,18597.291,39639.2416,30148559.489636004,169757989.356008
321,Manganese compounds,YES,NO,NO,NO,Pounds,317071.305633,2245699.77,33212119.547300003,9073459.0,486849.01,66758755.616,40894881.2602
300,Hydrogen fluoride,NO,NO,NO,NO,Pounds,9463863.365,351.4,26293190.714023,557723.45,0.0,1892769.0,14285.05
199,Chromium,YES,NO,NO,NO,Pounds,83454.10636599999,74271.7237,17554675.2006,538826.14,48875.55,5441062.87,19458606.4612
514,Vanadium compounds,YES,NO,NO,NO,Pounds,162414.785169,371872.9581,16499319.9411,1500415.002597,134338.89,9017920.426,1034953.329
206,Copper,YES,NO,NO,NO,Pounds,254342.899914,55254.1675,13685923.085356,377677.99,31070.068,24064671.583,49952110.3706
125,Asbestos,NO,YES,NO,NO,Pounds,2235.118843,0.0,12922047.65,0.0,0.0,0.0,0.0
200,Chromium compounds,YES,NO,NO,NO,Pounds,87171.963426,21637.1437,10289886.7979,2491238.74,50407.476,4286624.88,12672941.291
319,Manganese,YES,NO,NO,NO,Pounds,329304.434021,116003.063695,9768739.986949,747.659816,14508.26,921139.808,143741475.706967
267,Ethylene glycol,NO,NO,NO,NO,Pounds,1585009.26745,386173.742,9023656.864021,6951882.759,33067.0,0.0,29869134.0287
309,Lead,YES,YES,YES,NO,Pounds,64871.94937,5260.513169,7636250.653985,159440.80270000003,1769.97043,557511.926274,47280533.030708
111,Aluminum,NO,NO,NO,NO,Pounds,758028.3214969999,0.0,7163342.676497,0.0,0.0,5.0,81668841.726
207,Copper compounds,YES,NO,NO,NO,Pounds,169750.036235,111508.3955,6157699.672499999,154096.90000000002,50334.189,95680584.5142,56038976.703
311,Lead compounds,YES,NO,YES,NO,Pounds,86677.537921,15021.120846,6059202.714759,230043.980686,15129.301,135305368.14999402,29917491.367234
368,Nitrate compounds ,NO,NO,NO,NO,Pounds,299373.547191,177150545.108,5878503.3619,34138341.122291,15513456.766,11694068.76,1403500.4759
