Chemical,Type,Total Underground
Trichloroethane,TRI,1.109
Tetrachloroethane,TRI,3.007
Trichlorobenzene,TRI,23613.0
Trimethylbenzene,TRI,151094.35526399998
Dichlorobenzene,TRI,24280.77
Phenylenediamine,TRI,83.337584
Butadiene,TRI,1446.2
Dichloro-2-butene,TRI,3170.2
Dioxane,TRI,503266.012
Bromopropane,TRI,10.0
4-Dichlorophenol,TRI,1257080.037
2-Ethoxyethanol,TRI,0.012
2-Methyllactonitrile,TRI,293279.0
2-Methylpyridine,TRI,42955.0
2-Nitrophenol,TRI,4323.0
Methylenedianiline,TRI,240000.0
4-Aminoazobenzene,TRI,1337.32
4-Aminobiphenyl,TRI,18.78
Acetaldehyde,TRI,254312.01
Acetamide,TRI,1213407.0
Acetonitrile,TRI,21188935.549999997
Acetophenone,TRI,479320.0
Acrolein,TRI,10050.0
Acrylamide,TRI,5343988.045
Acrylic acid,TRI,1150928.0729999999
Acrylonitrile,TRI,7450454.059
Alachlor,TRI,0.032
Allyl alcohol,TRI,276509.007
Ammonia,TRI,28519578.355
Aniline,TRI,2757394.542
Anthracene,TRI,267.12800000000004
Antimony & Antimony Compounds,TRI,19214.0
Arsenic,TRI,140019.06
Atrazine,TRI,0.008
Barium & Barium Compounds,TRI,67904.02
Benzene,TRI,253910.34552
Benzoperylene,PBT,284.474
Benzoyl peroxide,TRI,0.005
Beryllium & Beryllium Compounds,TRI,2751.0
Biphenyl,TRI,48730.737
Bis(2-chloroethyl) ether,TRI,2.0
Boron trifluoride,TRI,314893.0
Bromine,TRI,178.0
Bromomethane,TRI,210.0
Butyl acrylate,TRI,0.052
Butyraldehyde,TRI,32424.017
Cadmium,TRI,58588.19
Carbaryl,TRI,0.007
Carbon disulfide,TRI,1906.766
Carbon tetrachloride,TRI,14346.167000000001
Carbonyl sulfide,TRI,1900.0
Certain glycol ethers,TRI,876632.8399999999
Chlordane,PBT,0.015
Chlorine dioxide,TRI,244036.0
Chlorobenzene,TRI,92000.095
Chloroform,TRI,23462.49
Chloromethane,TRI,330813.0
Chlorophenols,TRI,542568.0
Chloroprene,TRI,3057.024
Chlorothalonil,TRI,250.0
Chromium,TRI,3112272.174
Cobalt,TRI,72482.91
Copper,TRI,772484.8542920001
Creosote,TRI,0.091
Cresol,TRI,426808.097
Crotonaldehyde,TRI,2849.0
Cumene hydroperoxide,TRI,26672.161
Cyanide & Cyanide Compunds,TRI,5551903.000999999
Cyclohexane,TRI,96671.412
Cyclohexanol,TRI,1352997.1
Di(2-ethylhexyl) phthalate,TRI,10240.226
Diazinon,TRI,0.01
Dibenzofuran,TRI,3.0
Dibutyl phthalate,TRI,61993.013
Dicamba,TRI,72858.009
Dichlorobenzene (mixed isomers),TRI,0.008
Dichloromethane,TRI,558097.341
Dicyclopentadiene,TRI,81437.05
Diethanolamine,TRI,839200.296
Diisocyanates,TRI,1064.4
Dimethyl phthalate,TRI,23797.005
Dimethylamine,TRI,26954.02
Dinitrobutyl phenol,TRI,68681.06
Dioxin & dioxin-like Compunds,Dioxin,0.4603816976
Diphenylamine,TRI,864.009
Epichlorohydrin,TRI,23794.006
Ethyl acrylate,TRI,2839.968
Ethylbenzene,TRI,531386.5880000001
Ethylene oxide,TRI,6962291.759
Formaldehyde,TRI,12935343.143
Formic acid,TRI,13402912.124
Heptachlor,PBT,0.012
Hexachlorobenzene,PBT,0.04
Hexachloroethane,TRI,202.0
Hexafluoropropylene oxide dimer acid,TRI,6593.0
Hydrochloric acid,TRI,677.94
Hydrogen cyanide,TRI,621638.763
Hydrogen fluoride,TRI,557723.45
Hydrogen sulfide,TRI,9339597.54
Hydroquinone,TRI,329096.008
Isobutyraldehyde,TRI,212939.0
Lead & Lead Compunds,PBT,408082.07438600005
Lindane,TRI,0.008
Malathion,TRI,0.007
Maleic anhydride,TRI,59333.039
Manganese & Manganese Compunds,TRI,9198604.659816
Mercury,PBT,740.03491
Methacrylonitrile,TRI,35334.0
Methanol,TRI,15169526.773
Methoxychlor,PBT,0.007
Methyl acrylate,TRI,230.0368
Methyl iodide,TRI,0.66
Methyl isobutyl ketone,TRI,29203.535
Methyl methacrylate,TRI,2262167.5
Methyl parathion,TRI,80631.0
Methyl tert-butyl ether,TRI,21946.001
Methylene bromide,TRI,7076.0
Molybdenum trioxide,TRI,279392.0
N-Dimethylformamide,TRI,788111.621
N-Methyl-2-pyrrolidone,TRI,5383535.027
Naphthalene,TRI,457263.56500000006
Nickel & Nickel Compounds,TRI,566613.6072
Nicotine & salts,TRI,0.015
Nitrate & Nitrate Compunds,TRI,34138341.122291
Nitric acid,TRI,7426541.591000001
Nitrilotriacetic acid,TRI,1780.0
Nitrobenzene,TRI,283215.01
Nonylphenol Ethoxylates,TRI,394.76
Paraquat dichloride,TRI,262.0
Parathion,TRI,0.007
Pendimethalin,PBT,0.008
Pentachlorobenzene,PBT,23.0018
Pentachloroethane,TRI,0.006
Peracetic acid,TRI,391.015
Perfluorooctanoic acid,TRI,288.0
Permethrin,TRI,1100.0
Phenanthrene,TRI,274.488
Phenol,TRI,1356879.2859999998
Phthalic anhydride,TRI,36741.027
Picric acid,TRI,80469.0
Polychlorinated biphenyls,PBT,0.19
Polycyclic aromatic Compunds,PBT,20017.257
Propachlor,TRI,0.024
Propargyl alcohol,TRI,0.005
Propionaldehyde,TRI,129052.7
Propylene,TRI,49546.0
Pyridine,TRI,528054.11
Selenium Compunds,TRI,25175.09
Silver & Silver Compounds,TRI,9421.53
Sodium dicamba,TRI,1.0
Sodium nitrite,TRI,1413713.2
Styrene,TRI,198566.396
Tetrachloroethylene,TRI,3.4090000000000003
Thallium Compunds,TRI,15.0
Toluene diisocyanate,TRI,233615.308759
Toxaphene,PBT,34.007
Trichloroethylene,TRI,0.112
Triethylamine,TRI,433.139
Urethane,TRI,0.232
Vanadium Compunds,TRI,1500415.002597
Vinyl acetate,TRI,146856.045
Vinyl chloride,TRI,0.005
Vinylidene chloride,TRI,0.005
Warfarin & salts,TRI,0.027
Xylene,TRI,314383.280118
Zinc & Zinc Compounds,TRI,8224795.311599999
m-Cresol,TRI,587226.0
n-Butyl alcohol,TRI,754292.3219999999
n-Hexane,TRI,252390.978
o-Cresol,TRI,202537.61
o-Xylene,TRI,30175.0
p-Cresol,TRI,293615.0
sec-Butyl alcohol,TRI,20.0
tert-Butyl alcohol,TRI,300339.4
