Chemical,Type,Total Underground
Trichloroethane,TRI,1
Tetrachloroethane,TRI,3
Trichlorobenzene,TRI,23613
Trimethylbenzene,TRI,151094
Dichlorobenzene,TRI,24280
Phenylenediamine,TRI,83
Butadiene,TRI,1446
Dichloro-2-butene,TRI,3170
Dioxane,TRI,503266
Bromopropane,TRI,10
4-Dichlorophenol,TRI,1257080
2-Ethoxyethanol,TRI,0
2-Methyllactonitrile,TRI,293279
2-Methylpyridine,TRI,42955
2-Nitrophenol,TRI,4323
Methylenedianiline,TRI,240000
4-Aminoazobenzene,TRI,1337
4-Aminobiphenyl,TRI,18
Acetaldehyde,TRI,254312
Acetamide,TRI,1213407
Acetonitrile,TRI,21188935
Acetophenone,TRI,479320
Acrolein,TRI,10050
Acrylamide,TRI,5343988
Acrylic acid,TRI,1150928
Acrylonitrile,TRI,7450454
Alachlor,TRI,0
Allyl alcohol,TRI,276509
Ammonia,TRI,28519578
Aniline,TRI,2757394
Anthracene,TRI,267
Antimony & Antimony Compounds,TRI,19214
Arsenic,TRI,140019
Atrazine,TRI,0
Barium & Barium Compounds,TRI,67904
Benzene,TRI,253910
Benzoperylene,PBT,284
Benzoyl peroxide,TRI,0
Beryllium & Beryllium Compounds,TRI,2751
Biphenyl,TRI,48730
Bis(2-chloroethyl) ether,TRI,2
Boron trifluoride,TRI,314893
Bromine,TRI,178
Bromomethane,TRI,210
Butyl acrylate,TRI,0
Butyraldehyde,TRI,32424
Cadmium,TRI,58588
Carbaryl,TRI,0
Carbon disulfide,TRI,1906
Carbon tetrachloride,TRI,14346
Carbonyl sulfide,TRI,1900
Certain glycol ethers,TRI,876632
Chlordane,PBT,0
Chlorine dioxide,TRI,244036
Chlorobenzene,TRI,92000
Chloroform,TRI,23462
Chloromethane,TRI,330813
Chlorophenols,TRI,542568
Chloroprene,TRI,3057
Chlorothalonil,TRI,250
Chromium,TRI,3112272
Cobalt,TRI,72482
Copper,TRI,772484
Creosote,TRI,0
Cresol,TRI,426808
Crotonaldehyde,TRI,2849
Cumene hydroperoxide,TRI,26672
Cyanide & Cyanide Compunds,TRI,5551903
Cyclohexane,TRI,96671
Cyclohexanol,TRI,1352997
Di(2-ethylhexyl) phthalate,TRI,10240
