,Chemical,Metal,Carcinogen,PBT,PFAS,Units,Air,Water,Landfill,Underground Wells,Land Treatment,Surface Impoundment,Recycled
116,Ammonia,NO,NO,NO,NO,Pounds,133472507.188067,4307584.5399,1361290.7265,28519578.355,1594868.444,1935904.614,3339365.09
329,Methanol,NO,NO,NO,NO,Pounds,96836916.39497,5097925.426,666211.2817,15169526.773,242126.346,1331774.16,22407882.253
469,Sulfuric acid,NO,NO,NO,NO,Pounds,50034527.895792,0.0,525915.0,0.0,0.0,225.0,479970.5008
531,n-Hexane,NO,NO,NO,NO,Pounds,37674210.52131,2273.421002,104845.586,252390.978,1442.2366000000002,881.11,2034862.9015
465,Styrene,NO,YES,NO,NO,Pounds,30968120.71547,11221.81499,1761720.533,198566.396,5904.346,12888.01,194780.6534
298,Hydrochloric acid,NO,NO,NO,NO,Pounds,24453915.609708,0.0,32142.46,677.94,0.0,663.06,86801.03
266,Ethylene,NO,NO,NO,NO,Pounds,18294067.5027,192.0,40143.0,250.0,54.0,0.0,1396.92
301,Hydrogen sulfide,NO,NO,NO,NO,Pounds,17395226.624869,374352.27,34654.3784,9339597.54,25878.04,243135.77,18407891.62
492,Toluene,NO,NO,NO,NO,Pounds,14211084.43811,5994.827,436551.394331,185158.954759,6019.3636,2847.36,12798115.8904
179,Certain glycol ethers,NO,NO,NO,NO,Pounds,12934384.103944,22200.38,1354727.6939,876632.84,16111.4,52436.0,4967933.3618
176,Carbonyl sulfide,NO,NO,NO,NO,Pounds,10510540.958,655.0,142.0,1900.0,0.0,0.0,0.0
521,Xylene,NO,NO,NO,NO,Pounds,10231996.33649,6826.63168,604245.0205999999,314383.280118,913.7236,1807.09,13283658.8212
300,Hydrogen fluoride,NO,NO,NO,NO,Pounds,9463863.365,351.4,26293190.714023,557723.45,0.0,1892769.0,14285.05
174,Carbon disulfide,NO,NO,NO,NO,Pounds,8312606.501,90008.281,577.977,1906.766,0.0,1.0026,2506.0
530,n-Butyl alcohol,NO,NO,NO,NO,Pounds,7751253.885834001,43295.3653,80594.8436,754292.322,22.0,19000.0,2858711.4981
95,Acetaldehyde,NO,YES,NO,NO,Pounds,7647178.057047999,299269.929,17773.723326,254312.01,109.406,7933.269999999999,27618.6442
440,Propylene,NO,NO,NO,NO,Pounds,6962481.23315,85.3,664.0,24000.0,54.0,0.0,4977.8
182,Chlorine,NO,NO,NO,NO,Pounds,5569871.218940001,192699.67307,3224074.5300000003,243671.0,5.0,114.0,648956.01
299,Hydrogen cyanide,NO,NO,NO,NO,Pounds,5295584.665899999,839.45,9969.000002,621638.763,0.0,0.0,0.0
280,Formaldehyde,NO,YES,NO,NO,Pounds,4701402.307053,181946.26,282271.4219,12935343.143,437.698,159612.08000000002,30252.29
