,Chemical,Metal,Carcinogen,PBT,PFAS,Units,Air,Water,Landfill,Underground Wells,Land Treatment,Surface Impoundment,Recycled
368,Nitrate compounds,NO,NO,NO,NO,Pounds,299373.547191,177150545.108,5878503.3619,34138341.122291,15513456.766,11694068.76,1403500.4759
329,Methanol,NO,NO,NO,NO,Pounds,96836916.39497,5097925.426,666211.2817,15169526.773,242126.346,1331774.16,22407882.253
116,Ammonia,NO,NO,NO,NO,Pounds,133472507.188067,4307584.5399,1361290.7265,28519578.355,1594868.444,1935904.614,3339365.09
321,Manganese compounds,YES,NO,NO,NO,Pounds,317071.305633,2245699.77,33212119.547300003,9073459.0,486849.01,66758755.616,40894881.2602
462,Sodium nitrite,NO,NO,NO,NO,Pounds,76979.9131,1815982.41,1329811.61179,1413713.2,2457.55,0.0,55459.0
320,Manganese,YES,NO,NO,NO,Pounds,300572.667314,1685004.6118,54317616.26096,124398.0,498556.52,52575774.676,48433701.2097
523,Zinc compounds,YES,NO,NO,NO,Pounds,2389910.794245,982443.265917,113209969.35505,8224749.1616,847214.2100000001,268226014.46759495,510998041.4436
267,Ethylene glycol,NO,NO,NO,NO,Pounds,1585009.26745,386173.742,9023656.864021,6951882.759,33067.0,0.0,29869134.0287
301,Hydrogen sulfide,NO,NO,NO,NO,Pounds,17395226.624869,374352.27,34654.3784,9339597.54,25878.04,243135.77,18407891.62
281,Formic acid,NO,NO,NO,NO,Pounds,491601.2547,372667.095,383518.1273,13402912.124,2.68,19000.2,368135.44
514,Vanadium compounds,YES,NO,NO,NO,Pounds,162414.785169,371872.9581,16499319.9411,1500415.002597,134338.89,9017920.426,1034953.329
369,Nitric acid,NO,NO,NO,NO,Pounds,1520968.202138,304933.005,1243256.11327,7426541.591,112086.126,325934.03,1289234.634
95,Acetaldehyde,NO,YES,NO,NO,Pounds,7647178.057047999,299269.929,17773.723326,254312.01,109.406,7933.269999999999,27618.6442
129,Barium compounds,NO,NO,NO,NO,Pounds,345482.010292,267411.056842,63503100.068,35514.0,582678.605,13418002.598,1992980.43
182,Chlorine,NO,NO,NO,NO,Pounds,5569871.218940001,192699.67307,3224074.5300000003,243671.0,5.0,114.0,648956.01
280,Formaldehyde,NO,YES,NO,NO,Pounds,4701402.307053,181946.26,282271.4219,12935343.143,437.698,159612.08000000002,30252.29
128,Barium,NO,NO,NO,NO,Pounds,332363.348559,146770.6519,41766238.74953999,32377.0,337621.16000000003,2268759.82,2159102.4989
319,Manganese,YES,NO,NO,NO,Pounds,329304.434021,116003.063695,9768739.986949,747.659816,14508.26,921139.808,143741475.706967
207,Copper compounds,YES,NO,NO,NO,Pounds,169750.036235,111508.3955,6157699.672499999,154096.90000000002,50334.189,95680584.5142,56038976.703
174,Carbon disulfide,NO,NO,NO,NO,Pounds,8312606.501,90008.281,577.977,1906.766,0.0,1.0026,2506.0
